epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,4642.56,0.73612,0.40261,0.03454,0.01577,0.96085,0.9537,0.97813,0.84096,0.58409,0.27147,0.03605,0.0069,0.0011015,0.0011015,0.0011015
38,4772.37,0.73405,0.4052,0.03474,0.01535,0.95385,0.94047,0.97578,0.84548,0.56769,0.27013,0.03779,0.00573,0.00109738,0.00109738,0.00109738
39,4910.32,0.72122,0.39027,0.03452,0.01339,0.95678,0.94893,0.97794,0.84385,0.56294,0.27069,0.03518,0.00507,0.00109325,0.00109325,0.00109325
40,5041.86,0.71686,0.38155,0.03538,0.01525,0.96087,0.94216,0.97749,0.85022,0.55157,0.2746,0.03649,0.0054,0.00108913,0.00108913,0.00108913
41,5179.7,0.72616,0.39533,0.03477,0.01465,0.96006,0.93986,0.97623,0.84501,0.57356,0.27615,0.03719,0.00811,0.001085,0.001085,0.001085
42,5328.35,0.72144,0.3914,0.03358,0.01396,0.95792,0.94534,0.97597,0.84691,0.56694,0.26923,0.03358,0.00574,0.00108088,0.00108088,0.00108088
43,5465.99,0.73035,0.38144,0.03434,0.01582,0.96193,0.94889,0.9759,0.84904,0.55947,0.26808,0.03542,0.00812,0.00107675,0.00107675,0.00107675
44,5588.94,0.71726,0.37658,0.03448,0.01684,0.93989,0.95964,0.97628,0.84849,0.55518,0.26635,0.03487,0.00835,0.00107263,0.00107263,0.00107263
45,5722.64,0.71858,0.38593,0.0343,0.01572,0.95423,0.95319,0.97936,0.84732,0.56666,0.2617,0.03673,0.00675,0.0010685,0.0010685,0.0010685
46,5847.08,0.7164,0.38502,0.03457,0.01423,0.96941,0.93691,0.98049,0.84809,0.56441,0.26707,0.03559,0.0086,0.00106437,0.00106437,0.00106437
47,5970.83,0.7182,0.36791,0.03492,0.01311,0.94988,0.95525,0.97812,0.8446,0.56727,0.26242,0.03676,0.00724,0.00106025,0.00106025,0.00106025
48,6095.03,0.7134,0.37522,0.03437,0.0151,0.9522,0.95338,0.97808,0.84869,0.54506,0.27012,0.03756,0.00676,0.00105612,0.00105612,0.00105612
49,6217.93,0.70132,0.36541,0.03463,0.0127,0.96571,0.94372,0.98026,0.85674,0.54425,0.2579,0.03545,0.00513,0.001052,0.001052,0.001052
50,6341.17,0.71152,0.38167,0.03281,0.01441,0.96866,0.94754,0.97944,0.84867,0.56025,0.25714,0.03399,0.00649,0.00104787,0.00104787,0.00104787
51,6463.33,0.71247,0.37509,0.03193,0.01343,0.95038,0.95165,0.97774,0.84924,0.55888,0.2662,0.03556,0.00686,0.00104375,0.00104375,0.00104375
52,6586.93,0.72218,0.38149,0.03261,0.01461,0.96449,0.93148,0.97689,0.84336,0.57449,0.27472,0.03495,0.00652,0.00103962,0.00103962,0.00103962
