epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,163.336,0.74994,10.032,0.01211,0.05699,0.73012,0.82615,0.831,0.80234,0.30337,4.16672,0.01223,0.00462,0.00041573,0.00041573,0.00041573
2,319.554,0.5187,2.73137,0.01097,0.02454,0.9179,0.93358,0.9764,0.94545,0.29431,1.42889,0.01361,0.00806,0.000824156,0.000824156,0.000824156
3,473.885,0.48569,1.27805,0.01097,0.01956,0.93762,0.95261,0.98248,0.94899,0.31955,0.7559,0.0141,0.00654,0.00122433,0.00122433,0.00122433
4,628.926,0.47223,0.81756,0.01083,0.01998,0.95306,0.96632,0.98478,0.96255,0.2415,0.46897,0.01284,0.0072,0.00121287,0.00121287,0.00121287
5,784.641,0.43938,0.59324,0.01053,0.01604,0.96284,0.95871,0.98937,0.97125,0.23096,0.35132,0.0121,0.00858,0.0012005,0.0012005,0.0012005
6,940.165,0.44605,0.49787,0.01009,0.01737,0.98263,0.97139,0.98956,0.97189,0.22185,0.27047,0.01208,0.00406,0.00118812,0.00118812,0.00118812
7,1097.54,0.43112,0.44272,0.01023,0.01965,0.97775,0.9624,0.99114,0.96812,0.22842,0.25662,0.01245,0.00673,0.00117575,0.00117575,0.00117575
8,1257.49,0.42778,0.39914,0.01099,0.01836,0.97882,0.97817,0.9909,0.97146,0.22483,0.20921,0.0128,0.00777,0.00116337,0.00116337,0.00116337
9,1416.81,0.41699,0.38196,0.01071,0.01614,0.98081,0.976,0.99234,0.9749,0.21381,0.17579,0.01183,0.00534,0.001151,0.001151,0.001151
10,1575.48,0.40093,0.34713,0.01065,0.01296,0.98624,0.98365,0.99329,0.97401,0.21427,0.15816,0.01375,0.00474,0.00113863,0.00113863,0.00113863
