epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,2706.96,0.36018,0.23344,0.01123,0.00812,0.97819,0.98036,0.99154,0.98662,0.17099,0.11359,0.014,0.00245,0.0008045,0.0008045,0.0008045
38,2780.51,0.375,0.23597,0.01105,0.00874,0.98089,0.98756,0.9909,0.98439,0.17879,0.11277,0.01303,0.00312,0.000792125,0.000792125,0.000792125
39,2852.99,0.35757,0.22435,0.01072,0.00858,0.98835,0.98148,0.99166,0.98171,0.19303,0.10647,0.0132,0.00258,0.00077975,0.00077975,0.00077975
40,2925.6,0.36848,0.23635,0.01119,0.0087,0.98484,0.99061,0.99186,0.98411,0.19602,0.11066,0.01287,0.00206,0.000767375,0.000767375,0.000767375
41,2998.5,0.36167,0.2286,0.01137,0.00819,0.98607,0.98911,0.99166,0.98497,0.17391,0.10446,0.01481,0.00274,0.000755,0.000755,0.000755
42,3070.05,0.35437,0.22635,0.01157,0.00837,0.98097,0.98592,0.99156,0.98591,0.17244,0.10579,0.01458,0.00247,0.000742625,0.000742625,0.000742625
43,3143.35,0.35772,0.21986,0.01125,0.0075,0.99011,0.99263,0.99066,0.98409,0.17678,0.09985,0.0142,0.00258,0.00073025,0.00073025,0.00073025
44,3215.27,0.35263,0.22012,0.01125,0.00791,0.97774,0.98934,0.99069,0.98478,0.1752,0.10069,0.01477,0.00269,0.000717875,0.000717875,0.000717875
45,3287.55,0.35492,0.21851,0.01184,0.0074,0.99357,0.98716,0.99216,0.98536,0.17512,0.09922,0.01572,0.00329,0.0007055,0.0007055,0.0007055
46,3359.74,0.35564,0.21427,0.01161,0.00763,0.98612,0.99203,0.9932,0.98819,0.17132,0.09335,0.01515,0.00222,0.000693125,0.000693125,0.000693125
47,3432.26,0.34923,0.21798,0.01152,0.00747,0.99028,0.98759,0.99301,0.98742,0.16895,0.09237,0.01441,0.00233,0.00068075,0.00068075,0.00068075
48,3504.79,0.3517,0.21352,0.01082,0.00743,0.98915,0.97696,0.992,0.98902,0.16738,0.0985,0.01283,0.00258,0.000668375,0.000668375,0.000668375
49,3575.89,0.34254,0.21265,0.01071,0.00702,0.98805,0.98562,0.99066,0.98606,0.17462,0.09998,0.01242,0.00267,0.000656,0.000656,0.000656
50,3648.27,0.34439,0.20699,0.01086,0.00711,0.99096,0.99057,0.99177,0.98433,0.18023,0.09737,0.01306,0.00211,0.000643625,0.000643625,0.000643625
51,3721.23,0.34883,0.21444,0.01075,0.00759,0.98735,0.98486,0.99135,0.98589,0.1699,0.10303,0.013,0.00228,0.00063125,0.00063125,0.00063125
52,3793.81,0.33981,0.20595,0.0107,0.00691,0.98646,0.97969,0.99098,0.98472,0.16949,0.1085,0.01345,0.002,0.000618875,0.000618875,0.000618875
53,3866.59,0.34511,0.20023,0.0107,0.00634,0.99007,0.98353,0.99186,0.98653,0.17936,0.10201,0.0129,0.00149,0.0006065,0.0006065,0.0006065
54,3939.51,0.34222,0.20396,0.01071,0.00669,0.99273,0.98005,0.99089,0.98431,0.17455,0.10232,0.01344,0.00177,0.000594125,0.000594125,0.000594125
55,4011.56,0.34251,0.20576,0.01072,0.00662,0.98396,0.99278,0.99077,0.98571,0.16753,0.0976,0.01338,0.00159,0.00058175,0.00058175,0.00058175
56,4084.96,0.33235,0.198,0.01092,0.00567,0.98975,0.98891,0.99186,0.98722,0.16406,0.09444,0.01356,0.00145,0.000569375,0.000569375,0.000569375
57,4156.28,0.33097,0.19554,0.0112,0.00557,0.98834,0.98754,0.99226,0.98584,0.17325,0.09844,0.01339,0.00176,0.000557,0.000557,0.000557
58,4227.83,0.32786,0.19591,0.01117,0.00585,0.98597,0.99066,0.99179,0.98551,0.16403,0.09502,0.01453,0.00159,0.000544625,0.000544625,0.000544625
59,4300.29,0.34513,0.20053,0.01115,0.00613,0.99226,0.99105,0.9921,0.98718,0.16022,0.09088,0.01415,0.00161,0.00053225,0.00053225,0.00053225
60,4372.6,0.32977,0.19129,0.01121,0.00561,0.99218,0.99078,0.99208,0.98706,0.1636,0.089,0.01405,0.00166,0.000519875,0.000519875,0.000519875
61,4445.39,0.32572,0.19124,0.01093,0.00519,0.98963,0.98967,0.99256,0.98828,0.16843,0.09296,0.01437,0.00165,0.0005075,0.0005075,0.0005075
62,4522.55,0.32519,0.18795,0.0112,0.00624,0.99437,0.97193,0.99266,0.98632,0.17031,0.10405,0.01498,0.00153,0.000495125,0.000495125,0.000495125
63,4600.56,0.32842,0.19063,0.01121,0.00562,0.98729,0.98801,0.99116,0.98576,0.17093,0.09528,0.01516,0.0015,0.00048275,0.00048275,0.00048275
64,4680.9,0.3241,0.19403,0.01138,0.00558,0.99202,0.98784,0.99254,0.98843,0.17055,0.08987,0.01532,0.00169,0.000470375,0.000470375,0.000470375
65,4750.17,0.327,0.19243,0.01159,0.00602,0.98752,0.98855,0.99287,0.98764,0.1771,0.09764,0.0155,0.00193,0.000458,0.000458,0.000458
66,4814,0.33917,0.19995,0.01137,0.00708,0.99321,0.98363,0.99124,0.98629,0.16166,0.09548,0.01514,0.00261,0.000445625,0.000445625,0.000445625
67,4878.43,0.33578,0.19241,0.01109,0.00641,0.98736,0.99332,0.9908,0.98636,0.16271,0.09079,0.01522,0.00187,0.00043325,0.00043325,0.00043325
68,4942.34,0.34088,0.19545,0.01124,0.00643,0.99386,0.97803,0.99047,0.98595,0.17111,0.10431,0.0148,0.00158,0.000420875,0.000420875,0.000420875
